value_set_name,code_system,logical_definition,code,code_description,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537832,Uveal Melanoma cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-67-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537835,Cutaneous Melanoma cM1c(0) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1c(0)-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537841,Mucosal Melanoma of the Head and Neck pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-14-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537842,Lacrimal Gland Carcinoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-69-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537856,Cutaneous Melanoma cM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1a-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537867,Cutaneous Melanoma cM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1b-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537877,Jejunum and Ileum Neuroendocrine Tumor pM1c TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1c-31-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537878,Duodenum and Ampulla of Vater Neuroendocrine Tumor cM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1a-30-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537885,Adrenal Cortical Carcinoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-76-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537892,Ocular Adnexal Lymphoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-71-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537902,Breast Cancer cM0(i+) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0(i+)-48-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537909,Uterine Corpus Adenosarcoma cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-54.2-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537911,Nasal Cavity and Paranasal Sinuses Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-12-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537912,Gestational Trophoblastic Neoplasm cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-56-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537915,Cutaneous Melanoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537919,Small Intestine Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-18-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537926,Parathyroid Carcinoma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-75-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537932,HPV-Mediated (p16-Positive) Oropharyngeal Cancer cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-10-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537933,Testicular Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-59-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537936,Conjunctival Carcinoma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-65-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537937,Bone Cancer cM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1b-38-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537938,Pancreatic Neuroendocrine Tumor cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-34-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537941,Appendix Neuroendocrine Tumor pM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b-32-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537942,"Ovarian, Fallopian Tube, and Primary Peritoneal Carcinoma pM1b TNM Finding by AJCC/UICC 8th edition",Measurement,NCIt,AJCC Category,S,pM1b-55-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537943,Testicular Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-59-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537947,Colorectal Neuroendocrine Tumor cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-33-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537956,Laryngeal Cancer cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-13-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537960,Testicular Cancer cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-59-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537963,Orbital Sarcoma cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-70-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537973,Vaginal Cancer cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-51-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537975,Exocrine Pancreatic Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-28-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537976,Bladder Cancer cM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1b-62-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537977,Gastrointestinal Stromal Tumor cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-43-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537978,"Ovarian, Fallopian Tube, and Primary Peritoneal Carcinoma pM1 TNM Finding by AJCC/UICC 8th edition",Measurement,NCIt,AJCC Category,S,pM1-55-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537980,Appendix Neuroendocrine Tumor cM1c TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1c-32-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537987,Cutaneous Melanoma pM1a(1) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1a(1)-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537994,Duodenum and Ampulla of Vater Neuroendocrine Tumor pM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1a-30-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537995,Conjunctival Melanoma cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-66-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537996,Pheochromocytoma and Paraganglioma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-77-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1537997,Orbital Sarcoma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-70-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538010,Pleural Malignant Mesothelioma cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-37-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538015,Lip and Oral Cavity Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-7-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538016,Cutaneous Melanoma pM1b(1) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b(1)-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538017,Cutaneous Melanoma cM1a(1) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1a(1)-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538023,Duodenum and Ampulla of Vater Neuroendocrine Tumor cM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1b-30-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538028,HPV-Mediated (p16-Positive) Oropharyngeal Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-10-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538029,Nasopharyngeal Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-9-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538031,Soft Tissue Sarcoma of the Retroperitoneum cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-44-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538036,Bone Cancer cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-38-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538039,Cutaneous Melanoma cM1b(1) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1b(1)-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538042,Colorectal Neuroendocrine Tumor cM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1a-33-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538054,Bone Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-38-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538058,Adrenal Cortical Carcinoma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-76-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538061,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-42-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538063,Kidney Cancer cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-60-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538066,Appendix Neuroendocrine Tumor pM1c TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1c-32-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538070,Urethral Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-63-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538077,Colorectal Cancer cM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1a-20-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538078,Testicular Cancer pM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1a-59-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538082,Colorectal Cancer pM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b-20-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538084,Soft Tissue Sarcoma of the Retroperitoneum pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-44-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538085,Perihilar Bile Duct Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-25-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538093,"Papillary, Follicular, Hurthle Cell, Poorly Differentiated, and Anaplastic Thyroid Carcinoma cM1 TNM Finding by AJCC/UICC 8th edition",Measurement,NCIt,AJCC Category,S,cM1-73-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538096,HPV-Mediated (p16-Positive) Oropharyngeal Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-10-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538097,Breast Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-48-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538098,Pheochromocytoma and Paraganglioma cM1c TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1c-77-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538103,Oropharyngeal (p16-Negative) Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-11.1-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538105,Renal Pelvis and Ureter Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-61-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538108,Uveal Melanoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-67-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538112,Vulvar Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-50-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538113,Cutaneous Squamous Cell Carcinoma of the Head and Neck pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-15-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538116,Colorectal Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-20-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538127,"Ovarian, Fallopian Tube, and Primary Peritoneal Carcinoma cM1 TNM Finding by AJCC/UICC 8th edition",Measurement,NCIt,AJCC Category,S,cM1-55-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538128,Hypopharyngeal Cancer cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-11.2-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538130,Hepatocellular Carcinoma pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-22-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538131,Parathyroid Carcinoma cM0 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM0-75-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538136,Cutaneous Melanoma cM1d TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1d-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538139,Cutaneous Melanoma cM1b(0) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1b(0)-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538143,Bone Cancer cM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1a-38-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538145,Gastric Neuroendocrine Tumor pM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b-29-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538151,Bladder Cancer pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-62-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538152,Lung Cancer pM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b-36-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538157,Cutaneous Melanoma pM1b(0) TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b(0)-47-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538163,Distal Bile Duct Cancer cM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1-26-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538168,Bladder Cancer cM1a TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,cM1a-62-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538171,Thymic Tumor pM1b TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1b-35-8,2018-01-01,2099-12-31,NA
TNMDistantMetastasesCategoryVS,http://cancerstaging.org,includes codes from code system http://cancerstaging.org,NA,NA,1538174,Appendix Neuroendocrine Tumor pM1 TNM Finding by AJCC/UICC 8th edition,Measurement,NCIt,AJCC Category,S,pM1-32-8,2018-01-01,2099-12-31,NA
