concept_id,value_set_name,code_system,logical_definition,code,code_description,Observation,Condition,Spec Anatomic Site,Drug,Meas Value,Measurement,Specimen,"NA"
35940964,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 35940964 Skin [NAACCR 1524@90] [Meas Value] [NAACCR Value],NA,NA,NA
35941309,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 35941309 Skin [NAACCR 1514@90] [Meas Value] [NAACCR Value],NA,NA,NA
35941446,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 35941446 Skin [NAACCR 1504@90] [Meas Value] [NAACCR Value],NA,NA,NA
35941836,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 35941836 Skin [NAACCR 1540@30] [Meas Value] [NAACCR Value],NA,NA,NA
36308225,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLD,Whole blood,NA,NA,NA,NA,[V] [S] 36308225 Whole blood [LOINC LA19720-4] [Meas Value] [Answer],NA,NA,NA
36310548,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,WND,Wound,NA,NA,NA,NA,[V] [S] 36310548 Wound [LOINC LA9461-0] [Meas Value] [Answer],NA,NA,NA
36768328,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BON,Bone,NA,NA,NA,NA,NA,[V] [S] 36768328 Bone [Cancer Modifier OMOP4998003] [Measurement] [Topography],NA,NA
36770176,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,NA,[V] [S] 36770176 Skin [Cancer Modifier OMOP4999855] [Measurement] [Topography],NA,NA
37045638,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SMN,Seminal fluid,[V] [N] 37045638 Seminal fluid [LOINC LP17066-9] [Observation] [LOINC Component],NA,NA,NA,NA,NA,NA,NA
37079222,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,AMN,Amniotic fluid,NA,NA,NA,NA,[V] [S] 37079222 Amniotic fluid [LOINC LA30056-8] [Meas Value] [Answer],NA,NA,NA
37613062,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,NA,[V] [N] 37613062 Neoplasm of uncertain or unknown behaviour: Placenta [CIM10 D39.2] [Condition] [ICD10 code],NA,NA,NA,NA,NA,NA
40772565,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLD,Whole blood,[V] [N] 40772565 Whole blood [LOINC LP15247-7] [Observation] [LOINC Component],NA,NA,NA,NA,NA,NA,NA
40772881,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BON,Bone,[V] [N] 40772881 Bone [LOINC LP29159-8] [Observation] [LOINC System],NA,NA,NA,NA,NA,NA,NA
40787997,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,TISS,Tissue,[V] [N] 40787997 Tiss [LOINC LP61649-7] [Observation] [LOINC System],NA,NA,NA,NA,NA,NA,NA
40792158,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,[V] [N] 40792158 Skin [LOINC LP130014-6] [Observation] [LOINC Component],NA,NA,NA,NA,NA,NA,NA
44151752,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,NA,NA,NA,[V] [N] 44151752 Placenta [DPD DPD135764] [Drug] [Ingredient],NA,NA,NA,NA
44497887,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,[V] [N] 44497887 Placenta [ICDO3 C58] [Observation] [ICDO Topography],NA,NA,NA,NA,NA,NA,NA
44497888,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,[V] [N] 44497888 Placenta [ICDO3 C58.9] [Observation] [ICDO Topography],NA,NA,NA,NA,NA,NA,NA
44498222,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,[V] [N] 44498222 Skin [ICDO3 C44] [Observation] [ICDO Topography],NA,NA,NA,NA,NA,NA,NA
44516447,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLC,Placenta,NA,NA,[V] [N] 44516447 Placenta [OPCS4 Z45.4] [Spec Anatomic Site] [Body Structure],NA,NA,NA,NA,NA
45880118,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BON,Bone,NA,NA,NA,NA,[V] [S] 45880118 Bone [LOINC LA4277-5] [Meas Value] [Answer],NA,NA,NA
45881860,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SKN,Skin,NA,NA,NA,NA,[V] [S] 45881860 Skin [LOINC LA4332-8] [Meas Value] [Answer],NA,NA,NA
45912605,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLD,Whole blood,[V] [N] 45912605 Whole blood [CIEL 161939] [Observation] [Misc],NA,NA,NA,NA,NA,NA,NA
45919902,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SPT,Sputum,NA,NA,NA,NA,NA,NA,[V] [N] 45919902 Sputum [CIEL 1004] [Specimen] [Specimen],NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PCFL,"Fluid, Pericardial",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,DUFL,Duodenal fluid,NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,KIDFLD,"Fluid, Kidney",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,JNTFLD,"Fluid, Joint",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,FGA,"Fluid, Abdomen",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLDV,Blood venous,NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,CSERU,"Serum, Convalescent",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,CSF,Cerebral spinal fluid,NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,CVM,Cervical Mucus,NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,FBLOOD,"Blood, Fetal",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BLDA,Blood arterial,NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,SNV,"Fluid, synovial (Joint fluid)",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,GENV,Genital vaginal,NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,BIFL,Bile Fluid,NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,LSAC,"Fluid, Lumbar Sac",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,HYDC,"Fluid, Hydrocele",NA,NA,NA,NA,NA,NA,NA,NA
NA,GeneticSpecimenTypeVS,http://terminology.hl7.org/CodeSystem/v2-0487,NA,PLR,Pleural fluid (thoracentesis fluid),NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 759813 Physical object specimen [SNOMED 1021000124109] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 759820 Paper specimen [SNOMED 1031000124107] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 759825 Writing paper specimen [SNOMED 1041000124102] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 759826 Envelope specimen [SNOMED 1051000124100] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 759829 Package specimen [SNOMED 1061000124103] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 759869 Clothing specimen [SNOMED 1071000124105] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 759936 Surface wipe specimen [SNOMED 1081000124108] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762633 Acute phase serum specimen [SNOMED 429881000124104] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762634 Convalescent phase serum specimen [SNOMED 429891000124101] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762635 Bloody stool specimen [SNOMED 429901000124102] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762636 Fluid feces specimen [SNOMED 429911000124104] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762637 Bloody fluid feces specimen [SNOMED 429921000124107] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762638 Nasal aspirate specimen [SNOMED 429931000124105] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762639 Bacterial isolate specimen [SNOMED 429951000124103] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[U] [N] 762702 Viral isolate specimen [SNOMED 430751000124105] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762922 Popliteal cyst fluid [SNOMED 433771000124105] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762923 Tissue specimen from mass [SNOMED 433781000124108] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762924 Nasopharyngeal and oropharyngeal swab [SNOMED 433801000124107] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762931 Nasal washings [SNOMED 433871000124101] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 762932 Nasal and throat swab [SNOMED 433881000124103] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763036 Grain specimen [SNOMED 435291000124102] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763054 Scab specimen [SNOMED 435541000124108] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763090 Body fluid specimen from peritoneal dialysis insertion site [SNOMED 435971000124108] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763155 Swab of fluid from vesicle [SNOMED 436651000124102] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763166 Vegetable AND/OR fruit specimen [SNOMED 436761000124109] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763268 First void urine specimen [SNOMED 437921000124103] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763756 Specimen from bite wound [SNOMED 445611000124106] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 763757 Specimen from scratch wound [SNOMED 445621000124103] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764128 Pre-partum vaginal blood specimen [SNOMED 451091000124107] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764435 Swab from upper limb [SNOMED 454871000124102] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764436 Swab from heel [SNOMED 454881000124104] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764437 Swab from eyelid [SNOMED 454901000124102] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764438 Swab from face [SNOMED 454911000124104] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764439 Swab from knee region [SNOMED 454921000124107] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764440 Swab from shoulder region [SNOMED 454931000124105] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764441 Swab from foot [SNOMED 454941000124100] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764442 Swab from head [SNOMED 454951000124103] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764443 Swab from forearm [SNOMED 454971000124108] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764444 Fluid specimen from pelvis [SNOMED 454981000124106] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764477 Cultured cells specimen [SNOMED 455541000124107] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764568 Apheresis fluid [SNOMED 456721000124102] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764569 Donor pre-apheresis blood specimen [SNOMED 456731000124104] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764575 Donor lymphocyte infusion [SNOMED 456891000124106] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764635 Sand specimen [SNOMED 4851000124106] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764637 Baby food specimen [SNOMED 4861000124108] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 764638 Whey specimen [SNOMED 4871000124101] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 765315 Surface wet wipe specimen [SNOMED 1091000124106] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 765496 Human breast milk specimen [SNOMED 430791000124104] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 765681 Swab from scalp [SNOMED 454891000124101] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 765682 Swab from upper arm [SNOMED 454961000124101] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 765751 Seafood specimen [SNOMED 4841000124109] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [S] 765900 Mycobacterial isolate specimen [SNOMED 429971000124108] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[U] [N] 3113414 Epidural blood patch [Nebraska Lexicon 171794006] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[U] [N] 3167697 Fluid sample NOS [Nebraska Lexicon 168146005] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [N] 3167698 Hair bulb sample [Nebraska Lexicon 258423001] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [N] 3167699 Scrotal swab [Nebraska Lexicon 258518003] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V] [N] 3167700 Specimen from duodenal mucosa [Nebraska Lexicon 734422004] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[D] [N] 3167701 Synovial fluid: [source] or [sample] [Nebraska Lexicon 167866000] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[U] [N] 3167702 Leucocyte specimen [Nebraska Lexicon 119354007] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[D] [N] 3167703 Biliary, drainage fluid sample [Nebraska Lexicon 145363008] [Specimen] [Specimen]",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[D] [N] 3167704 Animal body parts for identification [Nebraska Lexicon 371781007] [Specimen] [Specimen],NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[U] [N] 3167705 Bone specimen [Nebraska Lexicon 119330002] [Specimen] [Specimen],NA
